,business_url,business_name,business_description,user_name,feedback_score,number_of_items,followers,user_since,location
0,https://www.ebay.com/str/100flagcityusa,100 Flag City USA,none,jamy2242,119,na,6,"Jan 31, 2020",United States
1,https://www.ebay.com/str/a1flagsrus,A 1 Flags R Us,"Wide variety of flags. Also, website www.a1flagsrus.com Located in Michigan, we have our hand' on what retail customers are looking for in flags. Quality product at low prices. We offer a wide variety for your indoor or outdoor decorating needs.We PLEDGE our goal of 100% customer satisfaction",a1flags,2069,59,17,"Sep 25, 2002",United States
2,https://www.ebay.com/str/aairisgarden,A&A Iris Garden,Welcome to my eBay Store. Please add me to your list of favorite sellers and visit often. Thank you for your business.,stayreal667,1760,48,166,"Aug 30, 2007",Latvia
3,https://www.ebay.com/str/aaafactorydirectflagsndisplays,AAA Factory Direct Flags n Displays,US Flags 3x5 4x6 5x8 6x10 Burial Flag Display Cases Military Medal Display Cases Capital Flag Display Cases Flagpoles American Flags Military Patches Military Flags Marines US Navy Air Force Army Challenge Coins Valley Forge Flags Garden Flags Casket Flag Golf Ball Display Baseball Display Seals,factory_direct_flags,18977,47,57,"May 21, 2001",United States
4,https://www.ebay.com/str/americanflagsuperstore,AMERICAN FLAG SUPERSTORE,"Welcome to AMERICAN-FLAG-SUPERSTORE.COM.A family business located in North Georgia. We sell U.S. Flags, Flagpoles, Banners and More. We are a full service Retail/Manufacturer.We Proudly Feature Flags Made In The USA! CALL DIRECT TODAY 1-877-533-5337",flagmart,23571,596,294,"Aug 15, 2006",United States
5,https://www.ebay.com/str/abmasflagsbootsknivessurplus,Abma's Flags Boots Knives Surplus,"CLOSE TO OR BELOW WHOLESALE PRICES FOR FLAGS, KNIVES, BOOTS, HUNTING, CAMPING, HIKING, LEATHER CLOTHING, SPORTING GOODS, MILITARY SURPLUS & RELATED ITEMS.",gsprod2,73374,788,147,"Jun 20, 2000",United States
6,https://www.ebay.com/str/bluejayflags,BLUEJAY FLAGS,Welcome to our store. We sell a large variety of home and garden flags as well as these Amazing flag pole stopper sets. We offer 5 star customer service and we ship the same day or the next business day always. Be sure to sign up for our newsletter so you don't miss out on new product and sales!,paddleman36d,6578,76,37,"May 25, 1999",United States
7,https://www.ebay.com/str/bearflagcomics,Bear Flag Comics,none,bearflagcomics,357,3347,32,"Jan 09, 2020",United States
8,https://www.ebay.com/str/bearflagrepublicautoparts,Bear Flag Republic Auto Parts,none,bearflagrepublic,891,82,25,"Aug 21, 2013",United States
9,https://www.ebay.com/str/bestflagstoreandglassware,Best Flag Store and Glassware,"Decorate your home with holiday & decorative flags. We offer a variety of home and garden decor, seasonal, collegiate, patriotic, military flags and more from our on line flag store to adorn the inside and outside of your home. We also offer Handmade blown and pressed glass handcrafted made in USA.",blondbat,19198,na,124,"Jul 10, 2001",United States
10,https://www.ebay.com/str/blackflagcomics,Black Flag Comics,none,blackflagcomics,1199,na,113,"Mar 21, 2006",United States
11,https://www.ebay.com/str/blueflagproducts,Blue Flag Products,none,blueflagproducts,159,na,6,"Jan 09, 2010",United States
12,https://www.ebay.com/str/bluelineflags,Blue Line Flags,"We are your online Novelty T-Shirt Super Store. We offer Personalized Custom Sayings T-Shirts, Funny T-Shirts, Firefighter T-Shirts and Occupational T-Shirts and more. We are still a Leading Seller of Non-Sports Autographs, Costume Cards, Insert Sets, and Wax Boxes, as well as Sports Cards.",troutdude1,8478,107,17,"May 23, 1999",United States
13,https://www.ebay.com/str/bluestariris,Blue Star Iris,A Wonderful collection of Antiques for sale. Check back often for new items.,bluestariris,123,na,0,"Nov 16, 2003",United States
14,https://www.ebay.com/str/bravozulusixflagsandbanners,Bravo Zulu Six Flags and Banners,Welcome to my eBay flag Store. I'll be adding many more flags so please add me to your list of favorite sellers and visit often. Thank you for your business.,bravozulu6,30633,na,374,"May 07, 2011",United States
15,https://www.ebay.com/str/butanflags,Butan Flags,none,butan99,62,99,3,"Dec 12, 2019",United States
16,https://www.ebay.com/str/buzzshivesofflagsandmore,Buzz s Hives of Flags and More,Welcome to my eBay Store. Please add me to your list of favorite sellers and visit often. Thank you for your business.,rvfd3,6777,na,218,"Sep 21, 1998",United States
17,https://www.ebay.com/str/capecodflagandflagpole,Cape Cod Flag and Flagpole,DUE TO COVID SOME ITEMS MAY TAKE LONGER THAN NORMAL TO SHIP,capecodflag,6188,91,1,"Jul 02, 2000",United States
18,https://www.ebay.com/str/capecoralflags,Cape Coral Flags,"Welcome to my eBay store. I sell American, Military, Pirate, Firemen, Holiday & State flags, I also sell NWT Clothing Please add me to your list of favorite sellers and visit often.",jathft,34812,165,112,"Dec 09, 2002",United States
